SITE_CODE,SHORT_TITLE,TITLE,STAGE,PROJECT_TITLE,LONGITUDE,LATITUDE,EASTING,NORTHING,MGA_ZONE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,EXTRACT_DATE
S0019514,Barton Main Westside,Barton Main - Westside,Operating,Jundee - Nimary,120.604103,-26.372549,260943,7080837,51,Au Ag,Precious metal,GOLD,20221018
S0019534,Williamson Pit,Williamson Pit,Operating,Matilda,120.317987,-26.773502,233314,7035838,51,Au Ag,Precious metal,GOLD,20221018
S0019550,Shannon,Shannon,Operating,Mt Magnet,117.78341,-28.060205,576985,6895881,50,Au Ag,Precious metal,GOLD,20221018
S0019619,Rowdies,Rowdies,Operating,Halls Creek - Lamboo Gold,127.353958,-18.419041,326143,7962663,52,Au Ag,Precious metal,GOLD,20221018
S0019624,Plutonic East,Plutonic East,Operating,Plutonic Gold,119.446404,-25.306709,746297,7198841,50,Au Ag,Precious metal,GOLD,20221018
S0019642,Tarmoola N,Tarmoola North,Operating,Tarmoola - King of the Hills,121.166066,-28.663856,320783,6827879,51,Au Ag,Precious metal,GOLD,20221018
S0019675,Greenfinch,Greenfinch - Westonia,Operating,Edna May - Westonia,118.689849,-31.288291,660847,6537215,50,Au Ag,Precious metal,GOLD,20221018
S0019710,Raleigh-Golden Hind U/G,Raleigh Underground,Operating,Kundana East,121.243599,-30.72757,331836,6599272,51,Au Ag,Precious metal,GOLD,20221018
S0019779,Invicta,Invicta - Deakin,Operating,Jundee - Nimary,120.5886,-26.3615,259373,7082032,51,Au Ag,Precious metal,GOLD,20221018
S0019961,City of Chester,City of Chester Main,Operating,Cue Gold - Central Murchison,117.7938,-27.335859,578523,6976115,50,Au Ag,Precious metal,GOLD,20221018
